HHKEY,ZIP_CODE,REC,FRE,CC_CARD,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,AMSPEND,PSSPEND,CCSPEND,AXSPEND,TMONSPEND,OMONSPEND,SMONSPEND,PREVPD,GMP,PROMOS,DAYS,MARKDOWN,CLASSES,COUPONS,NITEMS,STORES,VALPHON,WEB,MAILED,RESPONDED,LTP12FRE,CLUSTYPE,PERCRET,RESP
12207030,1450,61,2,1,0.39,0,0.19,0,0,0,0.12,0.28,0,0,0,0,0,0,0,0,109.98,49,0,89.99,0,89.99,0,0.53,15,685,0.28,5,1,6,3,Y,0,7,0,10,7,0,0
78146245,1450,153,1,0,0,0,0,0.22,0.16,0.08,0,0,0,0.53,0,0,0,0,0,0,0,489.93,0,0,0,489.93,0,0.6,15,468,0,4,0,7,1,N,0,6,1,1,3,0,0
24047836,1453,342,1,1,0.61,0,0,0.25,0,0,0,0,0,0,0,0,0.12,0,0,0,122.39,18,0,0,0,0,0,0.61,16,342,0.14,3,0,4,2,Y,0,5,0,1,3,0,0
55019772,1543,66,10,1,0.21,0.11,0,0.16,0,0,0.05,0.16,0.28,0,0,0,0,0,0,0,431.95,160,0,90.97,0,223.97,39,0.62,19,702,0.13,8,0,22,4,Y,0,10,5,21,7,0,0
9371074,1570,76,1,1,0,0,0,0.06,0.6,0.1,0,0,0.19,0,0,0,0,0.02,0.38,0,249.46,6,0,255.46,0,255.46,0,0.54,8,76,0.2,5,0,6,2,Y,0,3,0,2,7,0,0
79288099,1532,38,4,1,0.2,0.06,0,0.18,0.08,0.11,0.08,0.03,0.09,0,0,0,0,0.02,0,0,391.25,151.99,0,322.75,0,322.75,170.99,0.59,22,522,0.23,11,0,24,2,Y,0,10,2,12,3,0.12,0
6199128,1566,101,6,0,0.19,0,0,0,0.09,0.08,0.3,0,0.22,0,0,0,0.04,0,0,0,532.96,44.98,0,0,0,577.94,0,0.6,16,518,0.05,6,0,21,2,Y,0,9,2,8,4,0.04,0
93677621,1540,101,6,1,0.14,0.11,0,0.03,0,0,0.19,0,0.33,0,0,0,0.07,0,0,0,48,411.48,0,0,0,333.48,0,0.63,15,687,0.1,7,1,16,2,Y,0,8,3,17,4,0.12,1
88188944,1520,362,1,0,0,0,0,0,0,0,0,0,0.85,0,0,0.08,0,0.05,0,0,16,98,0,0,0,0,0,0.71,12,588,0,3,0,3,2,N,0,4,1,6,3,0,0
58756145,1545,78,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83.97,0,83.97,0,83.97,0,0.48,1,78,0.3,1,0,3,1,Y,0,0,0,0,7,0,0
98904292,1588,38,9,1,0.48,0,0.11,0.05,0.08,0,0.07,0,0.09,0,0,0.04,0.04,0,0,0,784.59,85.49,0,73,0,620.12,0,0.57,9,265,0.08,12,0,28,2,Y,0,2,0,19,7,0,1
32864360,1545,68,5,0,0,0.12,0,0,0.12,0.48,0.06,0.2,0,0,0,0,0,0,0.68,0,41.88,202.99,0,28.88,0,28.88,0,0.59,23,563,0.12,5,0,6,4,Y,0,10,2,4,5,0,0
79494436,1588,98,6,1,0,0.13,0.39,0,0.18,0,0,0.1,0,0,0,0,0,0.04,0,0,231.92,42.06,0,0,0,49.99,0,0.58,9,639,0.19,8,2,15,3,Y,0,1,0,25,7,0.15,0
94397968,1569,61,15,1,0.27,0.00191,0,0,0.37,0.22,0,0,0,0,0,0,0.04,0,0.12,0,15.24,994.69,340.43,215.61,0,626.99,57,0.4,25,693,0.29,12,3,57,5,Y,0,10,5,21,7,0.06,0
87221377,1527,44,6,1,0.16,0.01,0,0.26,0.23,0.16,0.004219,0.06,0,0,0,0,0.03,0.05,0.06,0,0,786.9,0,19.97,0,279.93,0,0.56,28,663,0.18,14,2,29,3,Y,0,10,0,11,7,0,0
34775526,1520,21,6,0,0,0,0,0.4,0,0.41,0,0,0,0,0,0,0.1,0,0.3,0,23.99,217.45,0,161.45,35,161.45,0,0.34,7,248,0.34,3,0,14,3,Y,0,0,0,7,7,0.08,0
78286715,1532,364,1,0,0,0,0.08,0.25,0,0,0,0.49,0,0,0,0,0.16,0,0,0,10,107.99,0,0,0,0,0,0.55,16,364,0.07,4,0,4,2,Y,0,4,0,1,2,0,0
33739527,1523,61,11,0,0.08,0,0.02,0.08,0.13,0.06,0,0.08,0.06,0.13,0,0,0.009078,0.02,0,0,1160.34,27.99,0,0,0,356.43,278.92,0.6,17,500,0.06,16,0,33,3,Y,0,9,5,17,7,0.38,0
56194017,1527,145,2,1,0.27,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,170.48,0,0,0,52.98,0,0.31,18,474,0.4,4,0,4,1,Y,0,9,1,2,7,0,0
56877190,1541,128,2,0,0.35,0.05,0,0,0.21,0,0,0,0,0.34,0,0.03,0,0,0,0,15,267.45,0,0,0,49.98,232.47,0.48,19,677,0.21,6,0,7,3,Y,0,6,1,9,7,0,0
97090192,1520,131,6,0,0.05,0.19,0,0.01,0.25,0.26,0,0,0.15,0,0,0.02,0.03,0,0.52,492.98,0,19.99,0,0,0,163.99,198,0.57,18,529,0.07,9,0,14,2,N,0,7,2,6,7,0,0
49967870,1522,169,5,1,0.39,0.03,0.03,0.06,0.14,0,0.17,0.11,0,0,0.04,0,0,0,0,0,815.35,18.61,0,0,0,269,127.99,0.58,21,693,0.18,10,3,26,2,Y,0,8,2,14,7,0,1
41697275,1564,56,3,0,0.55,0.07,0.06,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,143.46,99.97,0,68.95,0,185.94,0,0.43,6,363,0.18,6,0,13,2,Y,0,0,0,5,7,0,0
23186179,1588,40,3,0,0.16,0,0,0.12,0.23,0.13,0,0.14,0.18,0,0,0,0,0,0,0,0,459.98,0,20.99,0,20.99,0,0.65,17,543,0.09,7,0,9,2,Y,0,7,1,3,7,0,0
19828636,95354,92,4,0,0,0,0,0,0.51,0,0,0.18,0,0.3,0,0,0,0,0,0,176.49,292.38,0,0,0,76.98,133.65,0.48,13,314,0.23,5,1,7,3,Y,0,4,1,1,7,0,0
4314893,3063,274,3,0,0,0.1,0,0.2,0.15,0,0,0,0,0,0,0.08,0.09,0.02,0,6.5,0,89.73,0,0,0,0,0,0.44,7,344,0.18,9,0,10,3,N,0,0,0,3,7,0.46,0
60388732,1612,129,10,1,0.3,0.01,0.03,0.04,0.1,0.03,0.07,0.02,0.25,0,0,0,0.03,0.01,0.08,0,631.94,531.85,0,0,0,574.81,0,0.62,22,607,0.15,17,4,36,3,Y,1,9,3,19,7,0.06,1
11623021,1609,73,5,0,0,0,0,0.26,0.25,0.17,0,0,0,0,0,0,0.19,0,0,0,7.5,249.59,0,201.6,0,201.6,0,0.59,1,269,0.19,6,0,11,2,Y,0,0,0,1,7,0.34,0
25875293,1606,64,6,1,0.04,0.05,0.08,0.16,0.19,0,0.21,0.11,0.09,0,0,0,0,0.03,0,0,295.46,157,0,41.99,0,187.98,22.49,0.58,21,691,0.19,10,3,15,2,Y,0,9,3,22,7,0,0
88692895,1606,169,1,0,0.53,0,0,0.13,0,0,0.3,0,0,0,0,0,0,0.02,0,0,0,182.5,0,0,0,182.5,0,0.59,10,610,0.2,4,0,8,1,Y,0,3,0,5,1,0,0
53998989,1606,89,5,1,0.26,0.23,0.12,0.13,0.15,0,0.07,0,0,0,0,0,0,0,0,0,150.5,99.6,0,62.95,0,132.16,0,0.23,8,236,0.27,9,1,17,2,Y,0,2,1,16,7,0,0
43593341,1609,47,3,1,0.44,0.13,0,0,0,0,0.29,0,0.11,0,0,0,0,0,0,0,0,300.94,0,83.95,0,201.94,0,0.42,22,546,0.33,5,0,11,2,Y,0,10,1,8,2,0,0
56469229,1606,7,12,1,0.12,0.03,0.008791,0.23,0.26,0.09,0,0.05,0.06,0,0.08,0,0,0.006948,0.09,0,7.44,1554.86,0,255.09,101.12,751.84,212.98,0.55,28,689,0.27,15,5,45,3,Y,1,10,6,26,1,0.02,0
97300969,1602,78,25,0,0.12,0.01,0.006323,0.06,0.23,0.12,0,0.06,0.19,0.05,0,0.01,0.03,0,0,5,1659.84,433.86,0,164.95,0,1452.66,12.74,0.49,20,685,0.22,20,1,67,5,Y,0,11,8,104,2,0.05,0
1651934,1606,16,17,1,0.06,0.06,0,0.07,0.15,0.14,0.03,0,0,0,0,0.004275,0.02,0.02,0,479.41,0,42.59,0,29,29,190.45,202.48,0.33,18,648,0.29,18,1,33,2,Y,0,8,4,66,1,0.67,1
90461824,1602,26,6,0,0.15,0.09,0.09,0.05,0.22,0,0.09,0.06,0.2,0,0,0,0,0.004251,0,0,343.4,9.49,0,142.42,29.98,302.91,0,0.42,8,581,0.34,9,2,18,2,Y,0,2,2,12,5,0,0
8639980,1609,271,1,0,0.49,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,116.75,0,0,0,0,0,0.62,13,608,0.14,2,0,3,1,N,0,7,0,5,7,0,0
77302127,1605,43,2,0,0.49,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,83.97,0,41.99,0,83.97,0,0.27,8,482,0.35,2,0,3,1,Y,0,0,0,1,7,0,0
5836726,1585,140,2,0,0.46,0,0.3,0.22,0,0,0,0,0,0,0,0,0,0,0,59,0,68,0,0,0,59,0,0.63,11,587,0.18,3,0,4,2,Y,0,6,1,3,4,0,0
83605166,1605,119,1,0,0,0,0,0.28,0,0,0.71,0,0,0,0,0,0,0,0,0,0,137,0,0,0,137,0,0.68,7,119,0,2,0,3,1,Y,0,0,0,0,7,0,0
62022244,1612,173,2,1,0.39,0,0,0.07,0.24,0,0,0.24,0,0,0,0.03,0,0,0,0,184.76,107.93,0,0,0,48.74,243.95,0.5,18,689,0.12,6,1,9,2,Y,0,9,2,16,7,0,1
84120846,1606,49,7,0,0.15,0.03,0.15,0.03,0.12,0,0.28,0,0,0,0,0.04,0,0,0,0,46.49,142.59,0,59.47,0,114.6,0,0.36,10,369,0.34,10,0,16,2,Y,0,1,0,16,7,0.2,1
52193084,1757,39,5,1,0.32,0.02,0,0.03,0.08,0,0.09,0.1,0.18,0.11,0,0,0.02,0,0,0,657.41,17.01,0,28.99,0,579.44,74.99,0.54,17,676,0.25,10,3,22,2,Y,0,5,1,8,1,0,0
78819891,1721,75,5,1,0.08,0.03,0,0.14,0.13,0.22,0.15,0,0.07,0.13,0,0,0,0.006719,0.13,0,29,373.25,358.23,78.96,0,760.48,0,0.45,23,180,0.16,11,1,26,4,Y,0,9,3,8,3,0,1
73951462,1748,138,3,1,0.66,0,0,0.12,0,0,0,0,0.17,0,0,0,0.03,0,0,0,88,419.98,0,0,0,244.99,0,0.61,19,595,0.12,6,0,17,3,Y,0,9,2,13,2,0,0
20444950,1720,8,31,1,0.2,0.01,0.12,0.05,0.19,0.03,0.02,0.05,0,0,0.06,0.009675,0.06,0.00891,0,3106.53,59.5,144.6,139.95,529.99,306,1023.4,88.8,0.48,27,558,0.33,27,4,113,5,Y,0,9,6,30,5,0.17,0
70415431,1740,73,1,1,0.32,0.5,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,145.67,0,145.67,0,145.67,0,0.3,1,73,0.4,4,1,13,1,Y,0,0,0,0,3,0,0
98312677,1741,14,68,1,0.17,0.02,0.05,0.05,0.05,0.06,0.06,0.04,0.02,0,0.004543,0.01,0.01,0.003071,0.02,421.08,499.38,3593.12,0,572.57,302.25,2400.05,416.42,0.29,30,686,0.48,28,6,248,9,Y,0,11,8,81,2,0.64,1
80291145,1748,153,1,0,0,0,0.09,0.18,0.37,0,0.06,0.13,0.11,0,0,0,0,0.02,0,0,289.91,141.44,0,0,0,431.35,0,0.48,13,478,0,9,0,15,2,Y,0,7,0,3,2,0,0
35985951,1720,5,6,0,0.17,0,0,0.19,0,0.1,0,0.3,0.08,0,0,0,0,0.06,0.31,0,273.22,241.99,0,121.99,108,121.99,0,0.61,15,289,0.08,9,0,15,3,Y,0,4,1,6,7,0.07,0
29338452,1720,202,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0.69,10,202,0,1,0,1,1,N,0,2,0,0,3,0,0
14416630,1810,235,5,0,0.04,0,0,0,0.24,0.14,0,0,0,0,0.34,0,0,0,0.38,0,157.49,158,0,0,0,0,0,0.6,17,433,0.27,5,0,6,3,N,0,4,0,7,3,0.29,0
69591773,1840,94,2,0,0.22,0.01,0.15,0.12,0.15,0,0.09,0,0,0,0,0,0,0.004744,0,0,0,246.21,0,0,0,17.02,0,0.48,14,283,0.11,8,0,14,1,Y,0,4,1,0,7,0.28,0
9839613,1876,266,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.49,0,0,0,0,0,0.48,12,701,0.38,1,0,5,1,Y,0,2,0,1,3,0,0
75412868,1832,91,3,0,0,0.09,0,0,0,0.79,0,0,0,0,0,0,0.11,0,0,0,0,112.97,0,0,0,10.49,0,0.53,6,493,0.13,4,0,4,1,N,0,4,0,2,7,0,0
83850964,1810,79,2,1,0.26,0.13,0.15,0.13,0,0.18,0,0.05,0,0,0,0,0.06,0,0,0,0,314.11,0,114.32,0,314.11,0,0.47,7,113,0.31,7,2,16,2,Y,0,1,0,15,2,0,1
49509443,1835,159,2,0,0,0,0,0.21,0,0.78,0,0,0,0,0,0,0,0,0.42,0,0,138.98,0,0,0,59,0,0.65,4,272,0,3,0,3,1,Y,0,1,0,0,7,0,0
13584275,1826,10,8,1,0.03,0.006074,0.07,0.17,0.24,0.04,0,0.08,0.21,0.12,0,0,0,0.01,0,0,1875.98,210.99,143.96,357.95,213.99,1155.88,82.48,0.56,23,697,0.18,17,5,54,3,Y,0,10,6,23,7,0,0
94934493,1845,83,3,1,0.13,0,0,0,0.36,0.06,0.11,0,0,0.08,0,0,0,0,0.04,0,0,646.44,0,26.48,0,26.48,0,0.62,10,635,0.08,10,0,17,1,Y,0,2,1,18,2,0.33,0
87769875,1801,19,2,0,0.08,0.09,0,0.43,0,0,0.29,0,0,0,0,0,0.08,0,0,0,23.97,317.97,0,31.96,31.96,341.94,0,0.64,10,136,0.14,6,0,14,4,Y,0,1,1,4,1,0,0
39293517,1844,261,3,1,0.34,0,0,0,0.05,0.22,0,0,0,0,0.27,0,0,0.1,0,0,0,456.93,0,0,0,0,215.24,0.47,24,642,0.3,5,1,14,1,Y,0,8,1,17,3,0,1
12487415,1844,108,3,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,63,15,0,0,0,78,0,0.62,2,581,0.07,2,0,5,2,N,0,0,0,1,1,0,0
70010147,1821,125,2,0,0.17,0,0,0.28,0,0,0,0.49,0,0,0,0,0,0.04,0.35,0,0,139.48,0,0,0,94.99,0,0.59,8,281,0.14,5,0,5,1,N,0,0,0,0,7,0,0
69965656,1821,1,18,1,0.24,0.01,0.02,0.02,0.36,0.14,0,0.007212,0.03,0.03,0,0,0.02,0,0.05,2089.8,0,2118.84,0,1927.85,468.38,2984.33,0,0.61,25,701,0.15,16,8,78,2,Y,0,9,4,21,7,0.08,0
55203541,1860,113,5,0,0,0,0,0,0,0,0.12,0,0,0.3,0,0,0,0,0,0,0,168.99,0,0,0,168.99,0,0.6,8,581,0,3,0,3,1,Y,1,0,0,15,7,1.29,0
700564,1887,124,3,0,0.2,0.02,0.04,0.12,0,0,0.49,0,0,0,0,0,0.1,0,0,32.7,411.45,36.33,0,0,0,480.48,0,0.63,18,391,0.18,6,2,12,4,Y,0,6,2,5,3,0,0
44564835,1841,59,1,0,0,0,0,0.26,0,0.73,0,0,0,0,0,0,0,0,0,0,0,89.97,0,89.97,0,89.97,0,0.32,0,59,0.4,2,0,3,1,Y,0,0,0,1,7,0,1
85476425,1803,270,2,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,86.52,0,24.63,0,0,0,0,0,0.25,8,287,0.58,2,0,6,2,Y,0,1,0,1,5,0,0
32919325,1845,39,14,0,0.21,0.04,0.01,0.01,0.11,0.01,0.01,0.02,0,0,0.09,0.007493,0.02,0.005619,0,0,884.04,81.68,0,0,0,369.94,454.99,0.52,14,656,0.28,15,0,39,9,N,0,6,4,21,5,0.65,0
1334476,1879,24,4,0,0.03,0.04,0,0.05,0,0,0.12,0.009618,0.35,0,0,0,0.14,0,0,0,66.49,175.43,0,112.97,70,241.92,0,0.3,5,98,0.38,8,0,16,2,Y,0,0,0,3,3,0.28,0
32837652,1810,11,5,1,0.09,0.27,0,0.15,0,0,0,0,0,0,0,0.07,0.18,0.09,0,0,154,73.85,0,99.85,26,227.85,0,0.57,12,696,0.23,8,0,15,2,Y,0,3,2,16,2,0.12,0
1897626,1832,173,6,0,0.11,0,0.00716,0.04,0.33,0.09,0.06,0.13,0.14,0,0.04,0,0,0.008588,0,0,319.23,1774.35,0,0,0,221.23,482.19,0.56,22,530,0.22,16,2,51,4,Y,0,11,5,14,5,0,0
74943670,1844,108,1,0,0,0,0,0.19,0.5,0.29,0,0,0,0,0,0,0,0,0.8,0,0,197,0,0,0,197,0,0.69,4,108,0,3,0,3,1,Y,0,0,0,0,7,0,0
25868782,1801,189,3,0,0.27,0,0,0,0.33,0,0.21,0,0,0,0,0,0,0,0,0,0,282.43,0,0,0,0,0,0.53,17,397,0.12,4,0,9,1,Y,0,4,0,1,7,0.2,0
6710686,1887,105,4,1,0.17,0.16,0.4,0.13,0,0,0,0,0,0,0,0,0,0.06,0,0,191,15,0,0,0,36,0,0.6,9,240,0.08,6,0,9,2,Y,0,1,0,1,7,0.05,0
1108669,1863,18,2,1,0.32,0.19,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,67.45,32.5,0,99.95,32.5,99.95,0,0.44,22,579,0.41,3,0,7,2,Y,0,10,2,9,7,0,0
22816920,1821,299,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.99,24.5,0,0,0,0,0,0.64,9,299,0.15,1,0,3,2,Y,0,2,0,1,7,0,0
4935146,1867,33,17,1,0.41,0,0,0.1,0,0.24,0.04,0.03,0.07,0,0,0,0,0,0.01,197.25,1751.38,298.7,26.24,220.97,0,663.93,126,0.58,24,684,0.19,10,6,60,5,Y,0,9,6,37,7,0.1,1
82375556,1845,268,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5,0,0,0,0,0,0.44,7,268,0.42,1,0,3,1,Y,0,1,0,1,2,0,0
4869621,1890,91,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,98,0,0.57,7,523,0.27,1,0,4,1,Y,0,0,0,3,2,0,0
47067961,1821,141,1,1,0.29,0.08,0.39,0,0,0,0,0,0.2,0,0,0,0,0.02,0,0,173.19,3.78,0,0,0,176.97,0,0.57,14,512,0.12,5,1,7,2,Y,0,6,0,9,7,0,0
31691027,1801,174,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,44.98,0,0,0,73.5,0,0.47,21,264,0.31,2,1,9,2,Y,0,10,1,16,6,0,0
23435030,1867,32,6,1,0.1,0.03,0,0,0.18,0.07,0.08,0.09,0.04,0,0.1,0,0,0,0,0,880.05,154.79,0,112,0,260.69,0,0.55,12,232,0.2,16,1,36,3,Y,0,3,2,10,1,0.35,1
43355668,1826,165,5,1,0.41,0.007716,0,0.01,0.06,0.26,0.18,0,0,0,0,0.006672,0.02,0,0.04,0,0,1359.44,0,0,0,240,0,0.62,23,525,0.1,10,1,30,1,Y,0,8,2,13,7,0,0
11405075,1803,128,1,0,0.22,0,0,0,0.46,0.3,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,210,0,0.72,9,128,0,3,0,3,1,Y,0,1,0,0,3,0,0
60290921,1970,186,1,0,0.12,0,0,0,0.32,0.38,0,0.16,0,0,0,0,0,0,0.68,0,0,304,0,0,0,0,0,0.7,11,186,0,4,0,5,1,Y,0,2,0,4,3,0,0
1570208,33606,160,2,0,0.1,0,0,0.05,0.43,0.2,0,0.05,0.13,0,0,0,0,0,0.21,0,0,927.74,0,0,0,375,0,0.61,18,386,0.14,8,0,11,1,Y,1,5,1,3,5,0,0
9449082,1966,287,2,1,0.69,0.09,0.06,0.13,0,0,0,0,0,0,0,0,0,0,0,0,129.96,84.47,0,0,0,0,0,0.43,16,657,0.29,5,0,10,2,Y,0,6,0,5,5,0,0
77404632,1923,92,1,0,0.18,0.54,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,76.94,0,0,0,76.94,0,0.45,5,92,0.3,3,0,6,1,Y,0,0,0,0,1,0,0
10864861,1940,215,1,0,0.16,0,0,0.35,0.32,0,0,0.16,0,0,0,0,0,0,0,0,200.62,79.87,0,0,0,0,0,0.64,18,698,0.11,6,1,8,2,Y,1,9,1,17,3,0,1
8039616,1905,37,6,0,0.21,0,0,0.09,0.15,0.24,0.06,0.11,0.07,0,0,0,0.02,0,0.15,0,612.92,29.99,0,148,0,256.98,0,0.5,16,284,0.26,11,0,20,3,Y,0,4,1,2,7,0,0
84827769,1982,3,22,1,0.41,0.11,0.2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1412.22,29.4,0,848.1,473.51,848.1,0,0.5,25,698,0.26,7,1,71,11,Y,1,8,1,64,3,0.32,1
28571441,1904,150,2,0,0.4,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,87.99,0,0,0,87.99,0,0.55,9,166,0,4,0,5,1,Y,0,1,0,3,1,0.54,0
53156881,1906,85,1,0,0.09,0,0,0,0,0.22,0,0.5,0.18,0,0,0,0,0,0,0,0,153.94,0,153.94,0,153.94,0,0.37,1,85,0.3,4,0,6,1,Y,0,0,0,1,1,0,0
5040048,1960,50,9,1,0.18,0.01,0.19,0,0.21,0.22,0.04,0,0,0,0,0,0.02,0,0.09,17,221.04,330.78,0,114.02,0,275.27,0,0.15,21,691,0.47,10,2,27,3,Y,0,10,3,48,7,0.1,1
1918824,1983,239,1,0,0.41,0,0,0.23,0,0.35,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0.69,10,239,0,3,0,4,1,N,0,2,0,0,3,0,0
69923136,7722,153,1,1,0.14,0,0,0.1,0.38,0.23,0,0.1,0,0,0,0,0.03,0,0,0,0,415.79,0,0,0,415.79,0,0.66,9,153,0.1,6,1,9,1,Y,0,1,0,0,3,0,0
65293753,2019,53,7,1,0.13,0.009588,0.02,0.04,0.25,0.16,0.04,0.1,0.16,0,0,0,0.01,0.03,0.15,0,1818.11,265.71,0,388.35,0,1038.83,0,0.64,18,677,0.09,16,0,47,3,Y,0,10,4,23,7,0,0
11073649,2035,144,3,0,0.68,0.04,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,54,148.94,0,0,0,19.99,0,0.5,9,636,0.04,4,0,8,3,Y,0,6,2,9,6,0,0
1326764,2048,272,1,1,0.08,0,0,0.1,0.4,0.23,0,0,0,0,0,0.02,0.14,0,0,0,130.75,138,0,0,0,0,0,0.64,17,636,0.16,6,0,6,2,Y,0,6,0,5,7,0,0
55200970,2067,339,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99,0,0,0,0,0,0.49,6,339,0.28,1,0,3,1,N,0,0,0,0,7,0,0
32705725,2090,296,2,0,0.25,0.25,0.16,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,154.96,0,0,0,0,0,0.55,20,634,0,4,0,4,2,Y,0,6,1,1,3,0,0
24504044,2048,351,1,0,0,0,0,0.39,0,0,0,0.39,0,0,0,0.2,0,0,0,0,49,75,0,0,0,0,0,0.73,10,351,0,4,0,4,2,Y,0,4,0,1,7,0,0
